For x = 1: [10, 5, 1, 1, 1, 14, 10, 0.8414709848078965, 0.5403023058681398, 104]
For x = 2: [20, 8, 4, 8, 32, 28, 9, 0.9092974268256817, -0.4161468365471424, 196]
For x = 3: [32, 11, 9, 27, 243, 58, 26, 0.1411200080598672, -0.9899924966004454, 676]
For x = 4: [46, 14, 16, 64, 1024, 110, 103, -0.7568024953079282, -0.6536436208636119, 2180]
For x = 5: [62, 17, 25, 125, 3125, 190, 306, -0.9589242746631385, 0.28366218546322625, 5800]
For x = 6: [80, 20, 36, 216, 7776, 304, 725, -0.27941549819892586, 0.960170286650366, 13204]
For x = 7: [100, 23, 49, 343, 16807, 458, 1474, 0.6569865987187891, 0.7539022543433046, 26756]
For x = 8: [122, 26, 64, 512, 32768, 658, 2691, 0.9893582466233818, -0.14550003380861354, 49636]
For x = 9: [146, 29, 81, 729, 59049, 910, 4538, 0.4121184852417566, -0.9111302618846769, 85960]
For x = 10: [172, 32, 100, 1000, 100000, 1220, 7201, -0.5440211108893698, -0.8390715290764524, 140900]
For x = 11: [200, 35, 121, 1331, 161051, 1594, 10890, -0.9999902065507035, 0.004425697988050785, 220804]
For x = 12: [230, 38, 144, 1728, 248832, 2038, 15839, -0.5365729180004349, 0.8438539587324921, 333316]
For x = 13: [262, 41, 169, 2197, 371293, 2558, 22306, 0.4201670368266409, 0.9074467814501962, 487496]
For x = 14: [296, 44, 196, 2744, 537824, 3160, 30573, 0.9906073556948704, 0.1367372182078336, 693940]
For x = 15: [332, 47, 225, 3375, 759375, 3850, 40946, 0.6502878401571168, -0.7596879128588213, 964900]
For x = 16: [370, 50, 256, 4096, 1048576, 4634, 53755, -0.2879033166650653, -0.9576594803233847, 1314404]
For x = 17: [410, 53, 289, 4913, 1419857, 5518, 69354, -0.9613974918795568, -0.27516333805159693, 1758376]
For x = 18: [452, 56, 324, 5832, 1889568, 6508, 88121, -0.7509872467716762, 0.6603167082440802, 2314756]
For x = 19: [496, 59, 361, 6859, 2476099, 7610, 110458, 0.14987720966295234, 0.9887046181866692, 3003620]
For x = 20: [542, 62, 400, 8000, 3200000, 8830, 136791, 0.9129452507276277, 0.40808206181339196, 3847300]
For x = 21: [590, 65, 441, 9261, 4084101, 10174, 167570, 0.8366556385360561, -0.5477292602242684, 4870504]
For x = 22: [640, 68, 484, 10648, 5153632, 11648, 203269, -0.008851309290403876, -0.9999608263946371, 6100436]
For x = 23: [692, 71, 529, 12167, 6436343, 13258, 244386, -0.8462204041751706, -0.5328330203333975, 7566916]
For x = 24: [746, 74, 576, 13824, 7962624, 15010, 291443, -0.9055783620066238, 0.424179007336997, 9302500]
For x = 25: [802, 77, 625, 15625, 9765625, 16910, 344986, -0.13235175009777303, 0.9912028118634736, 11342600]
For x = 26: [860, 80, 676, 17576, 11881376, 18964, 405585, 0.7625584504796027, 0.6469193223286404, 13725604]
For x = 27: [920, 83, 729, 19683, 14348907, 21178, 473834, 0.956375928404503, -0.2921388087338362, 16492996]
For x = 28: [982, 86, 784, 21952, 17210368, 23558, 550351, 0.27090578830786904, -0.9626058663135666, 19689476]
For x = 29: [1046, 89, 841, 24389, 20511149, 26110, 635778, -0.6636338842129675, -0.7480575296890004, 23363080]
For x = 30: [1112, 92, 900, 27000, 24300000, 28840, 730781, -0.9880316240928618, 0.15425144988758405, 27565300]
For x = 31: [1180, 95, 961, 29791, 28629151, 31754, 836050, -0.404037645323065, 0.9147423578045313, 32351204]
For x = 32: [1250, 98, 1024, 32768, 33554432, 34858, 952299, 0.5514266812416906, 0.8342233605065102, 37779556]
For x = 33: [1322, 101, 1089, 35937, 39135393, 38158, 1080266, 0.9999118601072672, -0.013276747223059479, 43912936]
For x = 34: [1396, 104, 1156, 39304, 45435424, 41660, 1220713, 0.5290826861200238, -0.8485702747846052, 50817860]
For x = 35: [1472, 107, 1225, 42875, 52521875, 45370, 1374426, -0.428182669496151, -0.9036922050915067, 58564900]
For x = 36: [1550, 110, 1296, 46656, 60466176, 49294, 1542215, -0.9917788534431158, -0.12796368962740468, 67228804]
For x = 37: [1630, 113, 1369, 50653, 69343957, 53438, 1724914, -0.6435381333569995, 0.7654140519453434, 76888616]
For x = 38: [1712, 116, 1444, 54872, 79235168, 57808, 1923381, 0.2963685787093853, 0.9550736440472949, 87627796]
For x = 39: [1796, 119, 1521, 59319, 90224199, 62410, 2138498, 0.9637953862840878, 0.26664293235993725, 99534340]
For x = 40: [1882, 122, 1600, 64000, 102400000, 67250, 2371171, 0.7451131604793488, -0.6669380616522619, 112700900]
For x = 41: [1970, 125, 1681, 68921, 115856201, 72334, 2622330, -0.158622668804709, -0.9873392775238264, 127224904]
For x = 42: [2060, 128, 1764, 74088, 130691232, 77668, 2892929, -0.9165215479156338, -0.39998531498835127, 143208676]
For x = 43: [2152, 131, 1849, 79507, 147008443, 83258, 3183946, -0.8317747426285983, 0.5551133015206257, 160759556]
For x = 44: [2246, 134, 1936, 85184, 164916224, 89110, 3496383, 0.017701925105413577, 0.9998433086476912, 179990020]
For x = 45: [2342, 137, 2025, 91125, 184528125, 95230, 3831266, 0.8509035245341184, 0.5253219888177297, 201017800]
For x = 46: [2440, 140, 2116, 97336, 205962976, 101624, 4189645, 0.9017883476488092, -0.4321779448847783, 223966004]
For x = 47: [2540, 143, 2209, 103823, 229345007, 108298, 4572594, 0.123573122745224, -0.9923354691509287, 248963236]
For x = 48: [2642, 146, 2304, 110592, 254803968, 115258, 4981211, -0.7682546613236668, -0.6401443394691997, 276143716]
For x = 49: [2746, 149, 2401, 117649, 282475249, 122510, 5416618, -0.9537526527594719, 0.3005925437436371, 305647400]
For x = 50: [2852, 152, 2500, 125000, 312500000, 130060, 5879961, -0.26237485370392877, 0.9649660284921133, 337620100]
